Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
FLQL,6502,0,0.00,0,0.00,38.42,6443,59
BJAN,6274,0,0.00,0,0.00,33.08,3540,2734
XMPT,6155,0,0.00,0,0.00,28.24,6155,0
EDEN,6101,0,0.00,0,0.00,100.17,6101,0
PBSM,6026,0,0.00,0,0.00,35.64,6026,0
RYLD,5990,0,0.00,0,0.00,23.13,5990,0
IBMQ,5931,0,0.00,0,0.00,27.57,5931,0
EMTL,5885,0,0.00,0,0.00,51.03,5388,497
PSEP,5844,0,0.00,0,0.00,28.11,5844,0
COWZ,5785,0,0.00,0,0.00,34.94,5760,25
EMGF,5743,0,0.00,0,0.00,51.14,5465,278
DTEC,5715,0,0.00,0,0.00,48.37,5715,0
BOSS,5582,0,0.00,0,0.00,31.33,5582,0
BJUL,5346,0,0.00,0,0.00,30.26,5346,0
TOKE,5335,0,0.00,0,0.00,16.71,5335,0
OMFL,5273,0,0.00,0,0.00,41.90,5273,0
PTMC,5249,0,0.00,0,0.00,33.44,5249,0
IBMM,5172,0,0.00,0,0.00,27.11,5172,0
BBIN,5136,0,0.00,0,0.00,57.34,5036,100
BAUG,5112,0,0.00,0,0.00,29.91,5112,0
KNGS,4982,0,0.00,0,0.00,25.59,4787,195
VFMO,4882,0,0.00,0,0.00,118.49,2282,2600
EWUS,4554,0,0.00,0,0.00,43.61,4554,0
MLN,4521,0,0.00,0,0.00,21.69,4521,0
KJAN,4390,0,0.00,0,0.00,29.53,4390,0
VIXM,4366,0,0.00,0,0.00,36.15,4066,300
GVI,4345,0,0.00,0,0.00,116.92,4245,100
EFNL,4289,0,0.00,0,0.00,46.22,4289,0
BBSA,4199,0,0.00,0,0.00,26.08,4199,0
EUCG,4134,0,0.00,0,0.00,25.84,4134,0
CALF,3991,0,0.00,0,0.00,33.71,3791,200
SMB,3942,0,0.00,0,0.00,18.07,3942,0
OMFS,3880,0,0.00,0,0.00,35.27,3880,0
UJAN,3849,0,0.00,0,0.00,29.98,3649,200
IEHS,3786,0,0.00,0,0.00,38.93,3786,0
ENOR,3762,0,0.00,0,0.00,26.57,3762,0
EMHY,3713,0,0.00,0,0.00,46.26,3713,0
OILK,3645,0,0.00,0,0.00,46.48,3645,0
ESCR,3638,0,0.00,0,0.00,22.48,3638,0
DRSK,3502,0,0.00,0,0.00,29.49,3502,0
WFHY,3299,0,0.00,0,0.00,52.48,3299,0
FBCV,3247,0,0.00,0,0.00,24.99,3247,0
EMDV,3219,0,0.00,0,0.00,60.00,3219,0
FFTI,3166,0,0.00,0,0.00,24.26,3166,0
FRDM,3162,0,0.00,0,0.00,34.35,3077,85
NUMG,3003,0,0.00,0,0.00,50.74,3003,0
SHYD,2967,0,0.00,0,0.00,25.04,2967,0
FLV,2966,0,0.00,0,0.00,55.34,2966,0
DFNV,2951,0,0.00,0,0.00,26.49,2951,0
LIV,2949,0,0.00,0,0.00,26.39,2949,0
XSHD,2934,0,0.00,0,0.00,20.95,2934,0
NUDM,2807,0,0.00,0,0.00,30.38,2807,0
IVAL,2783,0,0.00,0,0.00,28.56,2783,0
ESML,2750,0,0.00,0,0.00,35.99,2750,0
XVZ,2658,0,0.00,0,0.00,37.59,2658,0
IETC,2646,0,0.00,0,0.00,47.74,2577,69
REGL,2630,0,0.00,0,0.00,64.69,2630,0
HEEM,2604,0,0.00,0,0.00,32.67,2411,193
ESG,2599,0,0.00,0,0.00,93.33,2599,0
POCT,2596,0,0.00,0,0.00,27.95,2596,0
XSHQ,2557,0,0.00,0,0.00,34.43,2556,1
USEP,2293,0,0.00,0,0.00,27.17,2193,100
GAA,2291,0,0.00,0,0.00,30.13,1891,400
PMAR,2260,0,0.00,0,0.00,28.52,2260,0
JPHY,2033,0,0.00,0,0.00,51.90,1633,400
FLIA,2025,0,0.00,0,0.00,25.41,2025,0
IGRO,1952,0,0.00,0,0.00,65.01,1952,0
NURE,1935,0,0.00,0,0.00,26.48,1935,0
CEFS,1904,0,0.00,0,0.00,20.07,1904,0
DNOV,1881,0,0.00,0,0.00,33.47,1881,0
DSOC,1861,0,0.00,0,0.00,28.43,1861,0
PAPR,1855,0,0.00,0,0.00,27.33,1855,0
FLDR,1842,0,0.00,0,0.00,50.99,1842,0
IEIH,1789,0,0.00,0,0.00,33.21,1789,0
SHAG,1778,0,0.00,0,0.00,51.35,1778,0
WFIG,1662,0,0.00,0,0.00,54.96,1662,0
IBHB,1661,0,0.00,0,0.00,24.24,1661,0
GSEW,1660,0,0.00,0,0.00,59.22,1660,0
DALT,1628,0,0.00,0,0.00,9.86,1478,150
EWGS,1587,0,0.00,0,0.00,77.35,1587,0
TRTY,1576,0,0.00,0,0.00,25.12,1576,0
ADME,1560,0,0.00,0,0.00,36.41,1560,0
IBHA,1556,0,0.00,0,0.00,24.25,1556,0
IEFN,1552,0,0.00,0,0.00,26.54,1551,1
IMOM,1477,0,0.00,0,0.00,36.13,1477,0
VFMV,1474,0,0.00,0,0.00,91.95,1474,0
NULG,1470,0,0.00,0,0.00,57.91,1470,0
IAUF,1465,0,0.00,0,0.00,57.07,1464,1
ATMP,1440,0,0.00,0,0.00,12.61,1440,0
GHYG,1438,0,0.00,0,0.00,50.85,1438,0
